filename	ID_gesture	t0	t1	size.rh	size.lh	size	traj.rh	traj.lh	traj	ampl_y.rh	ampl_y.lh	ampl_y	ampl_x.rh	ampl_x.lh	ampl_x	peak_velo.rh	peak_velo.lh	peak_velo	apex.rh	apex.lh	ID_phrase	nonref	icon	metaph	deixis	conv	hand	phrase_position	item	gender	language	condition	ID_participant	ID_partner	ID_interaction
antwerp1b_run1	sem_24	28732	30646	0	0.328	0.328	0.013	1.366	1.366	0.098	1.01	1.01	0.26	0.477	0.477	0.023	1.371	1.371	29840	29880	phrase_1	no	yes	no	abstract	no	left	middle	forest	f	dutch	L1-L1	antwerp1b	antwerp1a	1
antwerp1b_run1	sem_25	30646	31861	0	0.018	0.018	0.015	0.266	0.266	0.098	0.703	0.703	0.271	0.106	0.106	0.036	0.483	0.483	31400	30680	phrase_1	no	yes	no	abstract	no	left	middle	forest	f	dutch	L1-L1	antwerp1b	antwerp1a	1
antwerp1b_run1	sem_26	31861	33342	0	0.035	0.035	0.053	0.61	0.61	0.1	0.724	0.724	0.268	0.099	0.099	0.107	0.746	0.746	31880	32960	phrase_1	no	yes	no	no	no	left	middle	forest	f	dutch	L1-L1	antwerp1b	antwerp1a	1
antwerp1b_run1	sem_27	33342	34104	0.004	0.045	0.045	0.219	0.341	0.341	0.311	0.739	0.739	0.255	0.298	0.298	0.579	0.657	0.657	34080	34080	phrase_1	no	no	yes	no	no	left	middle	forest	f	dutch	L1-L1	antwerp1b	antwerp1a	1
antwerp1b_run1	sem_28	34104	34847	0.003	0.02	0.02	0.217	0.467	0.467	0.328	0.839	0.839	0.245	0.3	0.3	0.549	0.781	0.781	34160	34640	phrase_1	no	yes	no	abstract	no	left	middle	forest	f	dutch	L1-L1	antwerp1b	antwerp1a	1
antwerp1b_run1	sem_29	34847	35755	0	0.03	0.03	0.024	0.328	0.328	0.117	0.632	0.632	0.233	0.23	0.23	0.066	0.508	0.508	34880	34880	phrase_1	no	yes	no	no	no	left	last	forest	f	dutch	L1-L1	antwerp1b	antwerp1a	1
antwerp1b_run1	sem_3	4133	4664	0.016	0.01	0.016	0.284	0.234	0.284	0.662	0.524	0.662	0.366	0.137	0.366	0.807	0.598	0.807	4200	4360	phrase_1	no	yes	no	concrete	no	both	middle	forest	f	dutch	L1-L1	antwerp1b	antwerp1a	1
antwerp1b_run1	sem_30	42565	43423	0	0.004	0.004	0	0.152	0.152	0.057	0.752	0.752	0.22	0.048	0.048	0	0.315	0.315	42600	43400	phrase_2	no	yes	no	no	no	left	first	forest	f	dutch	L1-L1	antwerp1b	antwerp1a	1
antwerp1b_run1	sem_31	43423	44750	0	0.003	0.003	0.01	0.108	0.108	0.057	0.805	0.805	0.228	0.124	0.124	0.025	0.24	0.24	44720	44720	phrase_2	yes	no	no	no	no	left	middle	forest	f	dutch	L1-L1	antwerp1b	antwerp1a	1
antwerp1b_run1	sem_32	44750	46000	0	0.098	0.098	0.026	0.677	0.677	0.081	0.795	0.795	0.234	0.343	0.343	0.064	0.786	0.786	45720	45160	phrase_2	no	yes	no	no	no	left	middle	forest	f	dutch	L1-L1	antwerp1b	antwerp1a	1
antwerp1b_run1	sem_33	46000	47527	0	0.126	0.126	0.01	0.684	0.684	0.081	0.99	0.99	0.234	0.138	0.138	0.015	0.992	0.992	46000	46840	phrase_2	no	yes	no	no	no	left	middle	forest	f	dutch	L1-L1	antwerp1b	antwerp1a	1
antwerp1b_run1	sem_34	47527	48343	0	0.013	0.013	0.02	0.251	0.251	0.079	0.987	0.987	0.227	0.157	0.157	0.047	0.44	0.44	47560	48320	phrase_2	no	no	no	abstract	no	left	middle	forest	f	dutch	L1-L1	antwerp1b	antwerp1a	1
antwerp1b_run1	sem_35	48343	49471	0	0.007	0.007	0.02	0.289	0.289	0.073	0.988	0.988	0.226	0.212	0.212	0.05	0.4	0.4	48400	48960	phrase_2	no	no	no	abstract	no	left	middle	forest	f	dutch	L1-L1	antwerp1b	antwerp1a	1
antwerp1b_run1	sem_36	49471	49814	0	0	0	0	0.035	0.035	0.064	0.988	0.988	0.224	0.182	0.182	0	0.128	0.128	49480	49800	phrase_2	no	no	yes	no	no	left	middle	forest	f	dutch	L1-L1	antwerp1b	antwerp1a	1
antwerp1b_run1	sem_37	49814	50204	0	0	0	0	0.018	0.018	0.064	0.953	0.953	0.224	0.192	0.192	0.001	0.114	0.114	50200	50080	phrase_2	no	no	yes	no	no	left	middle	forest	f	dutch	L1-L1	antwerp1b	antwerp1a	1
antwerp1b_run1	sem_38	50204	53021	0.001	0.315	0.315	0.069	1.823	1.823	0.116	1.097	1.097	0.249	0.312	0.312	0.136	2.008	2.008	52800	51560	phrase_2	no	yes	no	no	no	left	last	forest	f	dutch	L1-L1	antwerp1b	antwerp1a	1
antwerp1b_run1	sem_4	4664	5938	0.003	0.013	0.013	0.119	0.348	0.348	0.472	0.633	0.633	0.328	0.171	0.328	0.471	0.7	0.7	5800	5320	phrase_1	yes	no	no	no	no	both	middle	forest	f	dutch	L1-L1	antwerp1b	antwerp1a	1
antwerp1b_run1	sem_5	5938	7941	0.004	0.041	0.041	0.189	0.63	0.63	0.586	0.87	0.87	0.329	0.264	0.264	0.232	0.798	0.798	6840	6960	phrase_1	no	yes	no	no	no	left	middle	forest	f	dutch	L1-L1	antwerp1b	antwerp1a	1
antwerp1b_run1	sem_6	7941	8837	0.006	0.023	0.023	0.142	0.253	0.253	0.521	0.684	0.684	0.314	0.12	0.314	0.239	0.466	0.466	7960	8120	phrase_1	yes	no	no	no	no	both	middle	forest	f	dutch	L1-L1	antwerp1b	antwerp1a	1
antwerp1b_run1	sem_7	8837	10739	0.004	0.092	0.092	0.303	0.584	0.584	0.422	0.785	0.785	0.282	0.257	0.257	0.608	0.903	0.903	8960	9920	phrase_1	no	no	no	abstract	no	left	middle	forest	f	dutch	L1-L1	antwerp1b	antwerp1a	1
antwerp1b_run1	sem_8	10739	11142	0	0	0	0	0.041	0.041	0.128	0.714	0.714	0.272	0.285	0.285	0.001	0.29	0.29	10760	11080	phrase_1	yes	no	no	no	no	left	middle	forest	f	dutch	L1-L1	antwerp1b	antwerp1a	1
antwerp1b_run1	sem_9	11142	11987	0	0.082	0.082	0.016	0.506	0.506	0.128	0.69	0.69	0.274	0.283	0.283	0.044	1.048	1.048	11160	11160	phrase_1	no	yes	no	no	no	left	middle	forest	f	dutch	L1-L1	antwerp1b	antwerp1a	1
antwerp1b_run2	sem_1	591	2897	0.381	0.308	0.381	1.539	1.457	1.539	1.205	1.14	1.205	0.551	0.256	0.551	1.735	1.752	1.752	2800	2880	phrase_1	no	yes	no	no	no	both	no	playground	f	dutch	L1-L1	antwerp1b	antwerp1a	2
antwerp1b_run2	sem_10	18642	21820	0.003	0.053	0.053	0.282	0.533	0.533	0.392	0.679	0.679	0.271	0.363	0.363	0.431	0.584	0.584	18680	20600	phrase_2	no	no	no	abstract	no	left	middle	playground	f	dutch	L1-L1	antwerp1b	antwerp1a	2
antwerp1b_run2	sem_11	21820	22460	0	0.013	0.013	0.004	0.161	0.161	0.155	0.673	0.673	0.265	0.423	0.423	0.046	0.372	0.372	22440	22440	phrase_2	yes	no	no	no	no	left	middle	playground	f	dutch	L1-L1	antwerp1b	antwerp1a	2
antwerp1b_run2	sem_12	22460	23740	0	0.017	0.017	0.017	0.324	0.324	0.17	0.709	0.709	0.261	0.421	0.421	0.065	0.421	0.421	22800	22480	phrase_2	no	yes	no	abstract	no	left	middle	playground	f	dutch	L1-L1	antwerp1b	antwerp1a	2
antwerp1b_run2	sem_13	23740	25280	0	0.034	0.034	0.007	0.435	0.435	0.17	0.753	0.753	0.252	0.347	0.347	0.024	0.549	0.549	23760	24360	phrase_2	no	no	no	abstract	no	left	last	playground	f	dutch	L1-L1	antwerp1b	antwerp1a	2
antwerp1b_run2	sem_14	28469	29010	0	0.008	0.008	0.006	0.156	0.156	0.17	0.969	0.969	0.252	0.284	0.284	0.018	0.359	0.359	28960	28920	phrase_3	no	no	no	abstract	yes	left	first	playground	f	dutch	L1-L1	antwerp1b	antwerp1a	2
antwerp1b_run2	sem_15	29010	29979	0	0.003	0.003	0.03	0.101	0.101	0.192	0.905	0.905	0.254	0.336	0.336	0.378	0.294	0.294	29960	29800	phrase_3	no	no	no	abstract	no	left	middle	playground	f	dutch	L1-L1	antwerp1b	antwerp1a	2
antwerp1b_run2	sem_16	29979	30608	0.008	0.048	0.048	0.363	0.362	0.363	0.572	0.902	0.902	0.271	0.326	0.326	0.837	0.729	0.837	30600	30000	phrase_3	no	yes	no	no	no	both	middle	playground	f	dutch	L1-L1	antwerp1b	antwerp1a	2
antwerp1b_run2	sem_17	30608	31672	0.045	0.011	0.045	0.408	0.226	0.408	0.576	0.578	0.578	0.379	0.164	0.379	0.794	0.448	0.794	30920	30640	phrase_3	no	yes	no	no	no	both	middle	playground	f	dutch	L1-L1	antwerp1b	antwerp1a	2
antwerp1b_run2	sem_18	31672	34262	0.04	0.134	0.134	1.221	1.687	1.687	0.566	0.895	0.895	0.315	0.122	0.315	0.861	1.351	1.351	32800	32160	phrase_3	no	yes	no	no	no	both	last	playground	f	dutch	L1-L1	antwerp1b	antwerp1a	2
antwerp1b_run2	sem_19	34816	35691	0.001	0.133	0.133	0.068	0.967	0.967	0.181	1.022	1.022	0.265	0.073	0.073	0.137	1.549	1.549	34840	35680	phrase_4	no	no	no	abstract	no	left	first	playground	f	dutch	L1-L1	antwerp1b	antwerp1a	2
antwerp1b_run2	sem_2	2897	4326	0.232	0.04	0.04	0.896	0.392	0.392	0.941	1.175	1.175	0.561	0.31	0.31	1.853	0.679	0.679	2920	3240	phrase_1	no	no	no	abstract	no	left	middle	playground	f	dutch	L1-L1	antwerp1b	antwerp1a	2
antwerp1b_run2	sem_20	35691	36489	0	0.002	0.002	0.041	0.078	0.078	0.145	1.032	1.032	0.263	0.131	0.131	0.097	0.368	0.368	35720	36320	phrase_4	yes	no	no	no	no	left	middle	playground	f	dutch	L1-L1	antwerp1b	antwerp1a	2
antwerp1b_run2	sem_21	36489	39278	0	0.022	0.022	0.045	0.563	0.563	0.14	1.026	1.026	0.264	0.123	0.123	0.061	0.401	0.401	37160	36520	phrase_4	no	yes	no	no	no	left	middle	playground	f	dutch	L1-L1	antwerp1b	antwerp1a	2
antwerp1b_run2	sem_22	39278	41031	0.003	0.045	0.045	0.329	0.552	0.552	0.436	0.905	0.905	0.262	0.104	0.262	0.688	0.645	0.688	40000	41000	phrase_4	no	yes	no	no	no	both	middle	playground	f	dutch	L1-L1	antwerp1b	antwerp1a	2
antwerp1b_run2	sem_23	41031	43000	0.065	0.041	0.065	0.754	0.454	0.754	0.993	0.932	0.993	0.31	0.109	0.31	0.93	0.514	0.93	41600	41160	phrase_4	no	yes	no	abstract	no	both	last	playground	f	dutch	L1-L1	antwerp1b	antwerp1a	2
antwerp1b_run2	sem_24	49795	50785	0.103	0.11	0.11	0.797	0.787	0.797	0.902	0.742	0.902	0.351	0.223	0.351	1.385	1.307	1.385	50760	50760	phrase_5	no	yes	no	no	no	both	first	playground	f	dutch	L1-L1	antwerp1b	antwerp1a	2
antwerp1b_run2	sem_25	50785	51190	0.002	0	0.002	0.067	0.038	0.067	0.954	0.747	0.954	0.355	0.247	0.355	0.299	0.248	0.299	50880	50960	phrase_5	no	no	yes	no	no	both	middle	playground	f	dutch	L1-L1	antwerp1b	antwerp1a	2
antwerp1b_run2	sem_26	51190	51822	0.047	0.003	0.003	0.687	0.102	0.102	0.935	0.796	0.796	0.324	0.248	0.248	1.38	0.528	0.528	51200	51440	phrase_5	no	no	yes	no	no	left	middle	playground	f	dutch	L1-L1	antwerp1b	antwerp1a	2
antwerp1b_run2	sem_27	51822	52580	0.001	0.005	0.005	0.098	0.204	0.204	0.221	0.961	0.961	0.264	0.223	0.223	0.802	0.559	0.559	51840	52560	phrase_5	yes	no	no	no	no	left	middle	playground	f	dutch	L1-L1	antwerp1b	antwerp1a	2
antwerp1b_run2	sem_28	52580	54040	0.001	0.232	0.232	0.063	1.467	1.467	0.168	1.194	1.194	0.284	0.273	0.273	0.132	1.786	1.786	53760	52880	phrase_5	no	no	yes	no	no	left	last	playground	f	dutch	L1-L1	antwerp1b	antwerp1a	2
antwerp1b_run2	sem_29	55336	56690	0.004	0.128	0.128	0.21	1.043	1.043	0.292	0.951	0.951	0.242	0.234	0.234	1.138	1.517	1.517	56680	56080	phrase_6	no	yes	no	no	no	left	first	playground	f	dutch	L1-L1	antwerp1b	antwerp1a	2
antwerp1b_run2	sem_3	4326	6122	0.131	0.098	0.131	1.868	1.034	1.868	1.216	1.185	1.216	0.389	0.205	0.389	2.136	1.077	2.136	5360	5360	phrase_1	no	yes	no	no	no	both	middle	playground	f	dutch	L1-L1	antwerp1b	antwerp1a	2
antwerp1b_run2	sem_30	56690	57867	0.061	0.118	0.118	1.565	0.927	1.565	1.037	0.888	1.037	0.301	0.276	0.301	1.842	1.734	1.842	57280	57280	phrase_6	no	yes	no	no	no	both	last	playground	f	dutch	L1-L1	antwerp1b	antwerp1a	2
antwerp1b_run2	sem_31	60418	61610	0	0.088	0.088	0.035	0.438	0.438	0.109	0.357	0.357	0.258	0.366	0.366	0.05	0.996	0.996	61160	61600	phrase_7	no	no	no	abstract	no	left	first	playground	f	dutch	L1-L1	antwerp1b	antwerp1a	2
antwerp1b_run2	sem_32	61610	62030	0	0.008	0.008	0.022	0.135	0.135	0.132	0.358	0.358	0.25	0.365	0.365	0.272	0.511	0.511	62000	61640	phrase_7	yes	no	no	no	no	left	middle	playground	f	dutch	L1-L1	antwerp1b	antwerp1a	2
antwerp1b_run2	sem_33	62030	63755	0.123	0.123	0.123	1.466	1.31	1.466	0.84	0.763	0.84	0.398	0.275	0.398	1.426	1.27	1.426	63000	62960	phrase_7	no	yes	no	no	no	both	middle	playground	f	dutch	L1-L1	antwerp1b	antwerp1a	2
antwerp1b_run2	sem_34	63755	65494	0.161	0.087	0.161	1.354	1.342	1.354	0.723	0.662	0.723	0.421	0.175	0.421	1.375	1.466	1.466	64560	64280	phrase_7	no	yes	no	no	no	both	last	playground	f	dutch	L1-L1	antwerp1b	antwerp1a	2
antwerp1b_run2	sem_4	6122	8120	0.024	0.089	0.089	0.368	0.718	0.718	0.489	1.128	1.128	0.322	0.202	0.202	0.686	0.898	0.898	6160	7040	phrase_1	no	no	no	abstract	no	left	middle	playground	f	dutch	L1-L1	antwerp1b	antwerp1a	2
antwerp1b_run2	sem_5	8120	9780	0	0.019	0.019	0.037	0.35	0.35	0.133	1.195	1.195	0.267	0.165	0.165	0.059	0.408	0.408	9760	8120	phrase_1	no	no	yes	no	no	left	middle	playground	f	dutch	L1-L1	antwerp1b	antwerp1a	2
antwerp1b_run2	sem_6	9780	12440	0	0.042	0.042	0.02	0.624	0.624	0.135	1.153	1.153	0.265	0.232	0.232	0.039	0.574	0.574	9960	10600	phrase_1	no	yes	no	no	no	left	middle	playground	f	dutch	L1-L1	antwerp1b	antwerp1a	2
antwerp1b_run2	sem_7	12440	13204	0	0.013	0.013	0.007	0.23	0.23	0.123	1.052	1.052	0.268	0.054	0.054	0.011	0.514	0.514	12840	12440	phrase_1	yes	no	no	no	no	left	last	playground	f	dutch	L1-L1	antwerp1b	antwerp1a	2
antwerp1b_run2	sem_9	16880	18642	0.003	0.005	0.005	0.191	0.246	0.246	0.55	0.549	0.55	0.27	0.122	0.27	0.211	0.402	0.402	16880	16880	phrase_2	no	yes	no	no	no	both	first	playground	f	dutch	L1-L1	antwerp1b	antwerp1a	2
antwerp2a_run2	sem_1	5999	7433	0.01	0.043	0.043	0.36	0.877	0.877	0.405	0.796	0.796	0.21	0.243	0.243	0.509	1.265	1.265	6600	6680	phrase_1	no	yes	no	no	no	left	no	lake	f	dutch	L1-L1	antwerp2a	antwerp2b	2
antwerp2a_run2	sem_10	41085	44811	0.008	0.064	0.064	0.471	0.893	0.893	0.432	0.709	0.709	0.1	0.139	0.139	0.559	1.087	1.087	41840	41120	phrase_4	no	no	no	abstract	no	left	middle	lake	f	dutch	L1-L1	antwerp2a	antwerp2b	2
antwerp2a_run2	sem_11	44811	46309	0.021	0.129	0.129	0.426	0.682	0.682	0.413	0.927	0.927	0.185	0.303	0.303	0.685	1.36	1.36	45200	46040	phrase_4	no	no	no	abstract	no	left	middle	lake	f	dutch	L1-L1	antwerp2a	antwerp2b	2
antwerp2a_run2	sem_12	46309	46638	0	0.001	0.001	0.025	0.054	0.054	0.328	0.934	0.934	0.18	0.331	0.331	0.135	0.309	0.309	46320	46600	phrase_4	no	no	no	abstract	no	left	middle	lake	f	dutch	L1-L1	antwerp2a	antwerp2b	2
antwerp2a_run2	sem_13	46638	47234	0.001	0.007	0.007	0.055	0.127	0.127	0.345	1.038	1.038	0.224	0.416	0.416	0.184	0.374	0.374	47200	47200	phrase_4	no	no	yes	no	no	left	middle	lake	f	dutch	L1-L1	antwerp2a	antwerp2b	2
antwerp2a_run2	sem_14	47234	48000	0.027	0.002	0.002	0.569	0.101	0.101	0.622	1.039	1.039	0.286	0.462	0.462	0.917	0.183	0.183	47560	47960	phrase_4	no	yes	no	no	no	left	middle	lake	f	dutch	L1-L1	antwerp2a	antwerp2b	2
antwerp2a_run2	sem_15	48000	48622	0.051	0.003	0.003	0.688	0.171	0.171	0.775	1.036	1.036	0.247	0.464	0.464	1.528	0.443	0.443	48480	48000	phrase_4	yes	no	no	no	no	left	middle	lake	f	dutch	L1-L1	antwerp2a	antwerp2b	2
antwerp2a_run2	sem_16	48622	50926	0.016	0.013	0.013	0.434	0.324	0.324	0.487	1.029	1.029	0.205	0.301	0.301	1.376	0.287	0.287	48640	48640	phrase_4	no	yes	no	abstract	no	left	middle	lake	f	dutch	L1-L1	antwerp2a	antwerp2b	2
antwerp2a_run2	sem_17	50926	52277	0.002	0.013	0.013	0.15	0.23	0.23	0.392	0.964	0.964	0.139	0.294	0.294	0.203	0.722	0.722	51400	51000	phrase_4	no	no	yes	no	no	left	last	lake	f	dutch	L1-L1	antwerp2a	antwerp2b	2
